CustomerID,JoinDate,ChurnDate,CustomerStatus,Age,AgeGroup,Gender,Geography,TenureMonths,IncomeLevel,ContractType,SubscriptionPlan,MonthlyCharges,PaymentMethod,AutoPay,SupportCalls,LatePayments,SatisfactionScore,TotalRevenue,LastActivityDate,RiskScore,RiskCategory,ChurnReason
CUST-00016,8/19/2025,,Active,51,45-54,Female,South,5,High,One Year,Basic,50.56,Electronic Check,No,4,1,4,253.56,12/1/2025,64,Medium Risk,
CUST-00017,7/22/2022,,Active,35,35-44,Male,Northeast,42,Middle,Month-to-Month,Standard,70.74,Bank Transfer,Yes,4,0,3,2975.32,11/19/2025,48,Medium Risk,
CUST-00018,7/22/2024,7/31/2025,Churned,71,65+,Male,South,13,Middle,Month-to-Month,Basic,41.28,Bank Transfer,Yes,5,2,3,537.26,7/31/2025,65,Churned,Poor Support Experience
CUST-00019,5/20/2022,6/30/2025,Churned,73,65+,Female,West,38,High,Month-to-Month,Standard,91.33,Electronic Check,No,6,2,2,3474.65,6/30/2025,91,Churned,Competitor Offer
CUST-00020,4/28/2023,,Active,78,65+,Female,South,33,Middle,Month-to-Month,Basic,56.8,Credit Card,Yes,7,2,2,1876.95,11/4/2025,81,High Risk,
CUST-00021,2/1/2023,4/30/2023,Churned,40,35-44,Female,South,3,High,Month-to-Month,Premium,127.3,Credit Card,No,0,1,5,381.9,4/30/2023,65,Churned,Competitor Offer
CUST-00022,10/27/2023,,Active,69,65+,Male,Northeast,27,Low,Two Year,Basic,51.62,Electronic Check,No,1,1,4,1396.05,12/3/2025,44,Medium Risk,
CUST-00023,3/8/2022,,Active,34,25-34,Female,West,46,Middle,Month-to-Month,Basic,45.25,Credit Card,Yes,2,0,3,2084.22,11/22/2025,49,Medium Risk,
CUST-00024,6/2/2023,,Active,47,45-54,Male,South,31,Middle,Month-to-Month,Premium,125.17,Credit Card,Yes,1,0,4,3885.91,12/10/2025,45,Medium Risk,
CUST-00025,8/27/2023,,Active,24,18-24,Female,Northeast,29,Low,One Year,Standard,79.32,Bank Transfer,Yes,3,0,4,2303.85,12/11/2025,28,Low Risk,
CUST-00026,7/2/2025,,Active,57,55-64,Male,West,6,High,Month-to-Month,Standard,89.17,Bank Transfer,Yes,1,1,4,536.36,12/9/2025,49,Medium Risk,
CUST-00027,10/9/2024,,Active,74,65+,Male,Northeast,15,Low,Two Year,Standard,76.51,Mailed Check,No,3,2,3,1149.95,12/6/2025,38,Low Risk,
CUST-00028,10/1/2022,,Active,24,18-24,Female,South,39,Middle,One Year,Standard,85.79,Credit Card,No,0,3,4,3350.97,12/5/2025,33,Low Risk,
CUST-00029,4/12/2022,7/31/2022,Churned,41,35-44,Female,South,4,Middle,Month-to-Month,Premium,110.28,Bank Transfer,Yes,1,2,4,441.12,7/31/2022,60,Churned,Competitor Offer
CUST-00030,3/29/2024,,Active,64,55-64,Male,South,22,High,Month-to-Month,Premium,117.3,Bank Transfer,Yes,2,1,4,2584.12,11/13/2025,48,Medium Risk,
CUST-00031,6/15/2023,,Active,32,25-34,Male,South,31,Middle,Two Year,Standard,63.15,Credit Card,Yes,6,1,3,1960.5,12/23/2025,36,Low Risk,
CUST-00032,12/27/2022,6/30/2024,Churned,39,35-44,Male,South,19,Middle,Month-to-Month,Standard,86.68,Credit Card,No,3,3,3,1649.52,6/30/2024,63,Churned,Billing Issues
CUST-00033,9/22/2022,,Active,19,18-24,Male,Midwest,40,Middle,Month-to-Month,Standard,66.03,Credit Card,Yes,0,0,4,2645.16,12/6/2025,32,Low Risk,
CUST-00034,6/17/2024,10/31/2024,Churned,46,45-54,Male,Northeast,5,Middle,Two Year,Premium,103.66,Electronic Check,No,3,3,3,518.3,10/31/2024,65,Churned,Billing Issues
CUST-00035,6/14/2022,,Active,45,45-54,Female,Midwest,43,High,Month-to-Month,Standard,81.66,Credit Card,No,3,2,4,3516.26,12/4/2025,58,Medium Risk,
CUST-00036,9/22/2025,,Active,55,55-64,Male,South,4,High,Two Year,Standard,69.59,Bank Transfer,Yes,3,0,4,279.4,12/21/2025,28,Low Risk,
CUST-00037,9/30/2024,,Active,54,45-54,Female,South,16,High,Month-to-Month,Premium,100.42,Bank Transfer,No,0,2,4,1609.74,11/1/2025,56,Medium Risk,
CUST-00038,9/15/2025,11/30/2025,Churned,52,45-54,Male,West,3,Middle,Month-to-Month,Basic,53.05,Electronic Check,No,3,4,3,159.15,11/30/2025,97,Churned,Competitor Offer
CUST-00039,12/27/2024,,Active,65,65+,Female,Northeast,13,Middle,Month-to-Month,Premium,116.09,Mailed Check,Yes,3,1,4,1512.65,12/11/2025,54,Medium Risk,
CUST-00040,9/2/2025,11/30/2025,Churned,39,35-44,Female,West,3,Low,Month-to-Month,Basic,38.81,Electronic Check,No,2,2,4,116.43,11/30/2025,77,Churned,Competitor Offer
CUST-00041,10/10/2024,,Active,58,55-64,Female,Northeast,15,High,Month-to-Month,Standard,64.52,Mailed Check,Yes,3,2,3,969.74,12/7/2025,50,Medium Risk,
CUST-00042,12/17/2024,8/31/2025,Churned,63,55-64,Male,South,9,Middle,Two Year,Basic,36.49,Electronic Check,No,4,1,2,328.96,8/31/2025,80,Churned,Service Issues
CUST-00043,10/16/2022,,Active,49,45-54,Female,Northeast,39,Middle,Month-to-Month,Premium,96.98,Credit Card,No,3,2,4,3788.02,10/30/2025,64,Medium Risk,
CUST-00044,9/19/2022,1/31/2023,Churned,43,35-44,Female,Midwest,5,Middle,One Year,Basic,44.57,Mailed Check,No,4,3,3,223.52,1/31/2023,67,Churned,Poor Support Experience
CUST-00045,12/19/2023,6/30/2024,Churned,36,35-44,Female,South,7,High,Month-to-Month,Premium,118.61,Credit Card,No,2,2,3,832.05,6/30/2024,76,Churned,Competitor Offer
CUST-00046,10/3/2022,,Active,67,65+,Male,Northeast,39,High,Month-to-Month,Standard,76.32,Bank Transfer,Yes,0,2,5,2981.04,12/17/2025,39,Low Risk,
CUST-00047,5/14/2023,11/30/2024,Churned,61,55-64,Male,Northeast,19,High,Month-to-Month,Standard,65.68,Bank Transfer,No,3,2,3,1248.91,11/30/2024,61,Churned,Competitor Offer
CUST-00048,4/7/2022,,Active,78,65+,Male,South,45,Middle,Month-to-Month,Premium,100.05,Bank Transfer,Yes,1,2,5,4508.25,11/17/2025,49,Medium Risk,
CUST-00049,5/21/2022,,Active,64,55-64,Female,South,44,Middle,Month-to-Month,Basic,55.63,Bank Transfer,Yes,3,1,4,2451.04,11/16/2025,50,Medium Risk,
CUST-00050,8/12/2024,,Active,67,65+,Male,South,17,High,Month-to-Month,Standard,70.62,Credit Card,Yes,3,1,3,1202.66,11/11/2025,49,Medium Risk,
CUST-00051,3/12/2024,,Active,30,25-34,Male,Northeast,22,Low,One Year,Standard,84.92,Electronic Check,No,3,5,2,1870.78,9/17/2025,74,High Risk,
CUST-00052,1/29/2023,,Active,45,45-54,Female,Northeast,36,Middle,Month-to-Month,Basic,44.18,Bank Transfer,No,2,1,4,1592.46,10/20/2025,61,Medium Risk,
CUST-00053,8/21/2025,10/31/2025,Churned,77,65+,Male,Northeast,3,Middle,One Year,Basic,55.59,Mailed Check,Yes,4,2,4,166.77,10/31/2025,50,Churned,Service Issues
CUST-00054,1/27/2023,6/30/2025,Churned,34,25-34,Male,Midwest,30,Low,One Year,Standard,85,Credit Card,Yes,0,2,5,2552.56,6/30/2025,19,Churned,Relocation
CUST-00055,12/19/2023,,Active,21,18-24,Male,Midwest,25,Middle,Two Year,Premium,88.69,Bank Transfer,Yes,3,1,4,2221.24,12/19/2025,20,Low Risk,
CUST-00056,6/3/2023,,Active,73,65+,Female,Midwest,31,Low,One Year,Standard,83.29,Electronic Check,No,3,5,3,2585.74,11/16/2025,69,Medium Risk,
CUST-00057,4/3/2022,,Active,56,55-64,Male,West,45,Middle,Two Year,Premium,119.43,Credit Card,Yes,3,1,3,5381.51,12/17/2025,38,Low Risk,
CUST-00058,2/5/2023,8/31/2023,Churned,71,65+,Female,South,7,High,Month-to-Month,Basic,49.02,Bank Transfer,Yes,4,0,3,343.14,8/31/2023,66,Churned,Poor Support Experience
CUST-00059,3/10/2024,,Active,24,18-24,Male,Midwest,22,Middle,Month-to-Month,Basic,41.8,Bank Transfer,Yes,1,1,5,920.86,10/26/2025,42,Medium Risk,
CUST-00060,11/26/2023,,Active,28,25-34,Male,West,26,Middle,Month-to-Month,Standard,83.62,Bank Transfer,Yes,2,2,4,2177.87,12/2/2025,43,Medium Risk,
CUST-00061,4/19/2024,7/31/2024,Churned,39,35-44,Male,South,4,Middle,One Year,Standard,86.91,Electronic Check,No,0,3,4,347.64,7/31/2024,50,Churned,Billing Issues
CUST-00062,1/8/2025,,Active,30,25-34,Male,South,12,Low,Two Year,Basic,56.34,Credit Card,Yes,1,0,5,676.93,12/21/2025,27,Low Risk,
CUST-00063,7/26/2025,,Active,63,55-64,Female,South,6,Middle,Month-to-Month,Standard,71.21,Bank Transfer,Yes,3,2,3,428.33,11/24/2025,61,Medium Risk,
CUST-00064,3/24/2024,,Active,46,45-54,Male,Northeast,22,Middle,Month-to-Month,Standard,85.99,Mailed Check,No,3,3,3,1894.36,11/6/2025,70,High Risk,
CUST-00065,4/13/2023,,Active,68,65+,Female,West,33,Low,Two Year,Standard,66.71,Bank Transfer,Yes,2,0,5,2204.43,12/15/2025,13,Low Risk,
CUST-00066,9/16/2023,,Active,32,25-34,Male,South,28,Middle,One Year,Standard,76,Mailed Check,No,3,2,4,2131.42,11/12/2025,44,Medium Risk,
CUST-00067,2/1/2024,,Active,19,18-24,Female,Northeast,23,High,Month-to-Month,Premium,106.13,Mailed Check,No,2,2,3,2444.17,10/3/2025,73,High Risk,
CUST-00068,7/23/2022,,Active,71,65+,Female,Midwest,42,Low,One Year,Basic,44.37,Mailed Check,No,2,1,5,1866.22,11/15/2025,41,Medium Risk,
CUST-00069,2/10/2025,,Active,75,65+,Male,South,11,Middle,Two Year,Standard,77.14,Mailed Check,No,1,2,5,849.7,12/13/2025,37,Low Risk,
CUST-00070,5/25/2025,,Active,67,65+,Male,West,8,High,One Year,Standard,61.5,Bank Transfer,Yes,6,0,2,492.92,11/8/2025,58,Medium Risk,
CUST-00071,9/30/2023,,Active,38,35-44,Female,South,28,Low,One Year,Premium,115.34,Electronic Check,Yes,3,3,3,3234.71,11/1/2025,62,Medium Risk,
CUST-00072,8/11/2024,1/31/2025,Churned,68,65+,Male,Northeast,6,Low,Month-to-Month,Standard,82.12,Bank Transfer,Yes,0,0,5,493.95,1/31/2025,40,Churned,Competitor Offer
CUST-00073,2/12/2024,9/30/2025,Churned,35,35-44,Male,Midwest,20,Low,Month-to-Month,Basic,55.69,Mailed Check,No,2,2,4,1114.64,9/30/2025,64,Churned,Competitor Offer
CUST-00074,12/23/2023,4/30/2025,Churned,25,25-34,Male,West,17,Middle,One Year,Basic,54.93,Electronic Check,No,3,2,3,935.45,4/30/2025,64,Churned,Needs Changed
CUST-00075,3/19/2023,,Active,45,45-54,Male,Midwest,34,Low,Two Year,Premium,116.6,Electronic Check,No,0,3,4,3969.65,11/19/2025,46,Medium Risk,
CUST-00076,8/7/2023,,Active,50,45-54,Male,West,29,Middle,One Year,Standard,76.34,Credit Card,Yes,3,1,4,2217.31,12/16/2025,25,Low Risk,
CUST-00077,5/14/2023,,Active,26,25-34,Female,Northeast,32,Middle,Month-to-Month,Basic,46.64,Electronic Check,Yes,2,1,4,1494.58,11/17/2025,56,Medium Risk,
CUST-00078,5/12/2022,,Active,79,65+,Female,South,44,Middle,Two Year,Premium,108.63,Mailed Check,No,0,1,5,4786.24,12/5/2025,30,Low Risk,
CUST-00079,5/8/2023,,Active,37,35-44,Female,West,32,Middle,Month-to-Month,Standard,80.29,Credit Card,Yes,3,2,4,2572.88,12/3/2025,49,Medium Risk,
CUST-00080,7/23/2025,9/30/2025,Churned,28,25-34,Non-binary,Northeast,3,Low,Month-to-Month,Premium,116.19,Credit Card,Yes,5,0,3,348.57,9/30/2025,72,Churned,Competitor Offer
CUST-00081,9/18/2024,,Active,46,45-54,Male,Midwest,16,High,Month-to-Month,Premium,106.81,Mailed Check,No,0,1,4,1712.16,10/27/2025,53,Medium Risk,
CUST-00082,3/9/2022,11/30/2024,Churned,64,55-64,Female,South,33,Low,Two Year,Basic,50.57,Mailed Check,No,2,3,3,1670.33,11/30/2024,48,Churned,Billing Issues
CUST-00083,12/12/2022,,Active,45,45-54,Male,West,37,Middle,One Year,Standard,87.87,Bank Transfer,Yes,0,1,4,3256.47,12/25/2025,17,Low Risk,
CUST-00084,4/24/2023,,Active,75,65+,Male,Midwest,33,Middle,Month-to-Month,Basic,49.61,Electronic Check,No,3,3,3,1639.35,11/8/2025,81,High Risk,
CUST-00085,3/14/2023,,Active,68,65+,Male,Midwest,34,Middle,Two Year,Standard,57.86,Electronic Check,Yes,3,1,4,1969.85,12/9/2025,31,Low Risk,
CUST-00086,5/7/2025,,Active,74,65+,Female,South,8,High,Month-to-Month,Standard,86.04,Credit Card,Yes,0,1,4,689.61,10/26/2025,41,Medium Risk,
CUST-00087,8/17/2024,,Active,70,65+,Female,South,17,Middle,Month-to-Month,Standard,78.35,Electronic Check,Yes,3,0,3,1334.31,12/13/2025,57,Medium Risk,
CUST-00088,11/4/2023,12/31/2025,Churned,59,55-64,Male,Northeast,26,Low,Month-to-Month,Premium,116.96,Credit Card,No,1,1,4,3046.21,12/31/2025,54,Churned,Price Too High
CUST-00089,7/30/2023,,Active,30,25-34,Male,West,30,Middle,Month-to-Month,Basic,56.46,Mailed Check,Yes,4,2,3,1696.35,11/10/2025,62,Medium Risk,
CUST-00090,1/24/2025,3/31/2025,Churned,30,25-34,Male,West,3,Middle,Month-to-Month,Premium,102,Electronic Check,Yes,3,0,4,306,3/31/2025,71,Churned,Price Too High
CUST-00091,9/7/2023,11/30/2023,Churned,33,25-34,Female,Midwest,3,Middle,Month-to-Month,Basic,55.91,Credit Card,No,3,3,2,167.73,11/30/2023,95,Churned,Billing Issues
CUST-00092,4/8/2024,,Active,21,18-24,Female,Northeast,21,Low,Month-to-Month,Basic,52.69,Credit Card,No,2,2,3,1108.07,9/3/2025,70,High Risk,
CUST-00093,1/3/2025,,Active,22,18-24,Male,South,12,Low,Month-to-Month,Premium,113.26,Electronic Check,Yes,2,1,4,1360.82,11/7/2025,64,Medium Risk,
CUST-00094,6/6/2023,,Active,68,65+,Male,West,31,Middle,Month-to-Month,Basic,50.34,Credit Card,No,3,1,4,1562.82,12/8/2025,64,Medium Risk,
CUST-00095,5/21/2022,,Active,61,55-64,Female,Northeast,44,Low,Month-to-Month,Basic,44.53,Electronic Check,No,3,1,4,1962,11/1/2025,73,High Risk,
CUST-00096,7/7/2023,8/31/2024,Churned,29,25-34,Female,Midwest,14,Middle,Two Year,Standard,59.08,Credit Card,Yes,6,0,3,828.01,8/31/2024,28,Churned,Service Issues
CUST-00097,2/11/2024,7/31/2024,Churned,25,25-34,Male,South,6,Low,Month-to-Month,Standard,70.48,Electronic Check,No,0,4,4,422.88,7/31/2024,68,Churned,Competitor Offer
CUST-00098,5/27/2024,,Active,68,65+,Male,Northeast,20,Low,Month-to-Month,Standard,82.81,Mailed Check,No,1,2,4,1658.68,11/17/2025,49,Medium Risk,
CUST-00099,11/22/2023,,Active,64,55-64,Female,South,26,High,Two Year,Standard,72.06,Credit Card,Yes,2,1,5,1876.8,12/7/2025,15,Low Risk,
CUST-00100,1/18/2022,,Active,38,35-44,Male,West,48,Low,Month-to-Month,Standard,90.31,Credit Card,Yes,2,2,4,4340.28,10/26/2025,48,Medium Risk,
CUST-00101,9/21/2025,,Active,18,18-24,Female,South,4,Middle,One Year,Premium,127.37,Credit Card,No,3,2,3,511.39,10/29/2025,62,Medium Risk,
CUST-00102,3/30/2022,,Active,66,65+,Male,West,46,Middle,Month-to-Month,Premium,94.64,Electronic Check,No,3,3,3,4359.12,9/21/2025,77,High Risk,
CUST-00103,6/4/2022,,Active,43,35-44,Female,Midwest,43,Middle,Two Year,Basic,53.68,Electronic Check,No,1,1,4,2311.48,12/1/2025,45,Medium Risk,
CUST-00104,2/17/2024,,Active,63,55-64,Male,Northeast,23,Low,Month-to-Month,Basic,40.95,Mailed Check,No,3,3,3,943.07,10/2/2025,78,High Risk,
CUST-00105,5/8/2025,,Active,44,35-44,Male,South,8,Low,Two Year,Standard,73.63,Bank Transfer,Yes,2,0,4,590.14,12/19/2025,18,Low Risk,
CUST-00106,1/6/2024,,Active,65,65+,Male,West,24,Low,One Year,Standard,77.49,Credit Card,Yes,3,1,4,1862.08,12/5/2025,27,Low Risk,
CUST-00107,4/13/2025,12/31/2025,Churned,19,18-24,Female,West,9,Low,Month-to-Month,Basic,52.53,Credit Card,Yes,3,2,3,473.56,12/31/2025,68,Churned,Competitor Offer
CUST-00108,2/21/2024,,Active,37,35-44,Female,Northeast,23,High,One Year,Basic,37.89,Bank Transfer,Yes,4,1,3,872.61,10/26/2025,48,Medium Risk,
CUST-00109,5/29/2022,,Active,39,35-44,Female,Northeast,44,Middle,Month-to-Month,Basic,54.52,Bank Transfer,Yes,4,1,3,2402.16,11/15/2025,59,Medium Risk,
CUST-00110,4/17/2022,7/31/2023,Churned,26,25-34,Male,South,16,Middle,Month-to-Month,Premium,100.33,Credit Card,No,0,1,4,1606.78,7/31/2023,53,Churned,Competitor Offer
CUST-00111,6/5/2023,,Active,43,35-44,Non-binary,Northeast,31,Middle,One Year,Standard,74.87,Mailed Check,No,3,2,3,2324.33,11/14/2025,49,Medium Risk,
CUST-00112,2/9/2024,10/31/2025,Churned,25,25-34,Female,West,21,Middle,Two Year,Basic,35.33,Electronic Check,No,1,1,4,742.46,10/31/2025,43,Churned,Needs Changed
CUST-00113,7/12/2024,,Active,67,65+,Female,West,18,Middle,Two Year,Standard,81.91,Electronic Check,No,0,4,4,1476.84,12/2/2025,42,Medium Risk,
CUST-00114,12/28/2023,,Active,23,18-24,Female,Northeast,25,Low,Month-to-Month,Standard,75.36,Mailed Check,No,1,1,5,1887.39,12/3/2025,46,Medium Risk,
CUST-00115,1/28/2025,4/30/2025,Churned,55,55-64,Female,Northeast,4,Middle,One Year,Basic,54.04,Electronic Check,No,7,3,1,216.16,4/30/2025,93,Churned,Poor Support Experience
CUST-00116,12/30/2022,,Active,53,45-54,Male,South,37,Middle,One Year,Standard,66.62,Electronic Check,No,0,2,5,2468.94,11/28/2025,44,Medium Risk,
CUST-00117,10/2/2022,,Active,57,55-64,Female,West,39,Middle,Two Year,Premium,95.97,Electronic Check,No,3,3,3,3748.59,11/17/2025,59,Medium Risk,
CUST-00118,11/7/2024,,Active,65,65+,Male,South,14,Low,Two Year,Basic,38.42,Electronic Check,No,2,2,4,539.04,11/29/2025,44,Medium Risk,
CUST-00119,7/31/2025,,Active,76,65+,Female,Midwest,6,Middle,Two Year,Standard,71.58,Bank Transfer,Yes,2,1,5,430.55,12/16/2025,23,Low Risk,
CUST-00120,11/28/2022,,Active,36,35-44,Male,South,38,Low,Two Year,Standard,61.26,Credit Card,No,2,3,3,2331.56,12/1/2025,43,Medium Risk,
CUST-00121,7/17/2025,,Active,52,45-54,Male,Northeast,6,Middle,One Year,Standard,81.53,Electronic Check,No,1,3,4,490.4,11/12/2025,58,Medium Risk,
CUST-00122,12/4/2022,5/31/2024,Churned,37,35-44,Male,South,18,Low,Month-to-Month,Standard,66.2,Electronic Check,No,6,3,2,1193.58,5/31/2024,94,Churned,Service Issues
CUST-00123,4/8/2024,,Active,49,45-54,Male,South,21,High,Two Year,Standard,64.06,Mailed Check,No,0,2,5,1347.18,12/31/2025,26,Low Risk,
CUST-00124,11/23/2024,,Active,25,25-34,Male,Midwest,14,Middle,One Year,Standard,73.67,Credit Card,Yes,2,0,5,1033.6,12/30/2025,20,Low Risk,
CUST-00125,8/30/2025,,Active,18,18-24,Female,West,5,Middle,One Year,Basic,41.84,Electronic Check,No,4,3,2,209.83,9/11/2025,88,High Risk,
CUST-00126,7/31/2023,,Active,44,35-44,Female,Northeast,30,Middle,Month-to-Month,Premium,106.92,Bank Transfer,Yes,1,2,3,3212.4,12/4/2025,56,Medium Risk,
CUST-00127,8/12/2025,,Active,73,65+,Male,Northeast,5,Low,Two Year,Basic,54.38,Electronic Check,No,2,2,4,272.72,12/13/2025,52,Medium Risk,
CUST-00128,2/11/2022,,Active,30,25-34,Female,Northeast,47,Low,Month-to-Month,Premium,128.61,Bank Transfer,Yes,1,2,5,6052.39,11/8/2025,53,Medium Risk,
CUST-00129,12/8/2023,7/31/2024,Churned,73,65+,Male,Northeast,8,Low,Month-to-Month,Standard,63.59,Electronic Check,No,6,5,1,509.67,7/31/2024,98,Churned,Service Issues
CUST-00130,4/27/2023,6/30/2024,Churned,63,55-64,Male,Northeast,15,High,Month-to-Month,Basic,42.46,Mailed Check,Yes,3,2,4,637.54,6/30/2024,52,Churned,Competitor Offer
CUST-00131,12/9/2023,8/31/2025,Churned,44,35-44,Female,Midwest,21,Middle,One Year,Standard,64.08,Credit Card,No,3,2,3,1347.6,8/31/2025,51,Churned,Relocation
CUST-00132,5/6/2022,7/31/2025,Churned,69,65+,Male,West,39,High,Month-to-Month,Basic,40,Electronic Check,No,4,2,2,1561.8,7/31/2025,96,Churned,Service Issues
CUST-00133,5/16/2022,,Active,31,25-34,Female,South,44,High,Month-to-Month,Standard,71.26,Bank Transfer,Yes,0,2,5,3139.72,12/5/2025,37,Low Risk,
CUST-00134,8/1/2022,,Active,57,55-64,Male,Northeast,41,Middle,One Year,Standard,77.48,Mailed Check,No,2,3,3,3181.32,10/31/2025,50,Medium Risk,
CUST-00135,6/18/2023,,Active,54,45-54,Male,South,31,High,Month-to-Month,Basic,42.55,Bank Transfer,No,1,2,4,1320.97,12/5/2025,58,Medium Risk,
CUST-00136,5/5/2025,,Active,53,45-54,Non-binary,South,8,High,Two Year,Premium,104.42,Credit Card,Yes,2,0,4,836.93,12/24/2025,33,Low Risk,
CUST-00137,7/30/2022,,Active,27,25-34,Male,Midwest,42,Low,Month-to-Month,Basic,40.55,Mailed Check,Yes,3,1,3,1705.54,11/19/2025,56,Medium Risk,
CUST-00138,1/3/2025,3/31/2025,Churned,24,18-24,Male,Midwest,3,Middle,Month-to-Month,Standard,82.99,Electronic Check,No,6,3,2,248.97,3/31/2025,98,Churned,Poor Support Experience
CUST-00139,5/23/2025,7/31/2025,Churned,56,55-64,Female,South,3,High,One Year,Premium,127.67,Credit Card,No,3,2,4,383.01,7/31/2025,60,Churned,Price Too High
CUST-00140,3/30/2022,,Active,74,65+,Male,West,46,Middle,Month-to-Month,Premium,116.47,Mailed Check,No,3,3,3,5364.62,9/25/2025,77,High Risk,
CUST-00141,3/12/2022,,Active,31,25-34,Female,South,46,Middle,One Year,Standard,77.11,Electronic Check,No,1,2,5,3551.7,11/10/2025,45,Medium Risk,
CUST-00142,8/8/2023,11/30/2024,Churned,50,45-54,Female,South,16,Middle,Month-to-Month,Premium,123.96,Bank Transfer,Yes,2,1,5,1985.22,11/30/2024,47,Churned,Price Too High
CUST-00143,11/10/2023,,Active,18,18-24,Female,West,26,Middle,Two Year,Standard,81.74,Bank Transfer,Yes,3,0,3,2128.93,12/12/2025,24,Low Risk,
CUST-00144,9/18/2025,12/31/2025,Churned,63,55-64,Male,Midwest,4,Middle,One Year,Basic,42.94,Credit Card,Yes,1,2,4,172.4,12/31/2025,45,Churned,Competitor Offer
CUST-00145,7/2/2025,,Active,25,25-34,Female,Northeast,6,Middle,Two Year,Premium,97.73,Electronic Check,No,0,4,4,587.85,12/3/2025,56,Medium Risk,
CUST-00146,5/28/2024,,Active,58,55-64,Female,Midwest,20,Low,One Year,Standard,75.66,Credit Card,No,2,2,3,1515.46,11/23/2025,49,Medium Risk,
CUST-00147,3/7/2023,,Active,46,45-54,Female,Northeast,34,Middle,Two Year,Basic,49.24,Bank Transfer,Yes,2,2,4,1676.38,12/12/2025,27,Low Risk,
CUST-00148,8/12/2023,,Active,80,65+,Female,Northeast,29,Low,Month-to-Month,Premium,125.65,Credit Card,Yes,1,1,4,3649.49,11/4/2025,44,Medium Risk,
CUST-00149,5/20/2025,,Active,33,25-34,Female,Midwest,8,Middle,One Year,Premium,89.45,Electronic Check,No,1,3,4,716.94,10/24/2025,51,Medium Risk,
CUST-00150,2/8/2024,,Active,77,65+,Male,Northeast,23,Middle,Month-to-Month,Standard,81.17,Credit Card,Yes,3,0,4,1869.35,12/10/2025,38,Low Risk,
CUST-00151,9/5/2022,,Active,56,55-64,Male,Midwest,40,High,One Year,Basic,58.24,Credit Card,Yes,1,1,4,2333.08,12/16/2025,27,Low Risk,
CUST-00152,12/10/2024,,Active,65,65+,Male,Northeast,13,Middle,Two Year,Basic,41.64,Electronic Check,No,3,1,3,542.56,12/11/2025,56,Medium Risk,
